Tiêu đề,Diện tích(m2),Số phòng ngủ,Số phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
"Chính chủ bán 100m2 đất đấu giá mặt Hồ Đầm Tranh, Long Biên - Đang cho thuê 10tr/tháng",100.0,,,29/09/2023,Hà Nội,Long Biên,Hướng nhà: Đông-Bắc,Hướng ban công: Đông-Bắc,Bán Nhà riêng,8.8,https://batdongsan.vn/chinh-chu-ban-100m2-dat-dau-gia-mat-ho-dam-tranh-long-bien-dang-cho-thue-10trthang-r279354
"Nhà 4 Tầng, đường Lê Văn Chí Phường Linh Trung Thủ Đức, dt 74 m²",74.0,4.0,5.0,29/09/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà,8.5,https://batdongsan.vn/nha-4-tang-duong-le-van-chi-phuong-linh-trung-thu-duc-dt-74-m-r279352
"Nhà hẻm thông 12m, có công viên nội bộ, gần bệnh viện, trường học",86.0,4.0,4.0,29/09/2023,TP Hồ Chí Minh,Quận 12,Hướng nhà: Đông,Hướng ban công: Đông,Bán Nhà riêng,,https://batdongsan.vn/nha-hem-thong-12m-co-cong-vien-noi-bo-gan-benh-vien-truong-hoc-r279351
"50TR/M2, 12.5x21M, HẺM XE TẢI NHỎ, 4 TẦNG, HƯƠNG LỘ 2 BÌNH TÂN",280.0,,,29/09/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,14.0,https://batdongsan.vn/50trm2-125x21m-hem-xe-tai-nho-4-tang-huong-lo-2-binh-tan-r279348
"Nhà 3 tầng Đồng Văn Cống ,ngang 7m , HXH ,gần Coop mart",49.0,3.0,3.0,29/09/2023,TP Hồ Chí Minh,Quận 2,,,Bán Nhà riêng,3.0,https://batdongsan.vn/nha-3-tang-dong-van-cong-ngang-7m-hxh-gan-coop-mart-r279344
"Bán nhà Mỗ Lao, Hà Đông, view nhìn sang nhà Văn Hóa thoáng vĩnh viễn, 55m2, 9.5 tỷ",55.0,3.0,,29/09/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,9.5,https://batdongsan.vn/ban-nha-mo-lao-ha-dong-view-nhin-sang-nha-van-hoa-thoang-vinh-vien-55m2-95-ty-r279343
"BÁN TOÀ CĂN HỘ APARTMENT 5 TẦNG NGAY ĐẦU CẦU RỒNG ĐÀ NẴNG, CHỈ 8,1 TỶ.",82.0,7.0,8.0,29/09/2023,Đà Nẵng,Sơn Trà,Hướng nhà: Đông-Bắc,Hướng ban công: Đông-Bắc,Bán Nhà mặt phố,8.1,https://batdongsan.vn/ban-toa-can-ho-apartment-5-tang-ngay-dau-cau-rong-da-nang-chi-81-ty-r279342
"Bán nhà đẹp DT sàn 127m2, xe hơi trong nhà, gần đường Hoàng Diệu, Linh Trung, Thủ Đức, chỉ 5,6tỷ",66.0,3.0,3.0,30/09/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,5.6,https://batdongsan.vn/ban-nha-dep-dt-san-127m2-xe-hoi-trong-nha-gan-duong-hoang-dieu-linh-trung-thu-duc-chi-56ty-r279341
"Bán gấp nhà Mặt tiền KD Nguyễn Hữu Thọ,Hải Châu,S:125m2,6tầng,Giá chỉ 22 tỷ TL",125.0,5.0,7.0,30/09/2023,Đà Nẵng,Hải Châu,,,Bán Nhà mặt phố,22.0,https://batdongsan.vn/ban-gap-nha-mat-tien-kd-nguyen-huu-thohai-chaus125m26tanggia-chi-22-ty-tl-r279340
"Tân phú, Nhà 5 Tầng- gần chợ Tân Hương, kinh doanh-Giá rẻ",72.0,5.0,4.0,30/09/2023,TP Hồ Chí Minh,Tân Phú,Hướng nhà: Nam,Hướng ban công: Nam,Bán Nhà mặt phố,13.38,https://batdongsan.vn/tan-phu-nha-5-tang-gan-cho-tan-huong-kinh-doanh-gia-re-r279334
"Bán Nhà Mặt Đường Tô Hiệu, Lê Chân, Hải Phòng - Cơ Hội Đầu Tư Và Kinh Doanh Tốt - Giá 156tr/m2",166.0,2.0,2.0,30/09/2023,Hải Phòng,Lê Chân,Hướng nhà: Nam,Hướng ban công: Nam,Bán Nhà mặt phố,26.0,https://batdongsan.vn/ban-nha-mat-duong-to-hieu-le-chan-hai-phong-co-hoi-dau-tu-va-kinh-doanh-tot-gia-156trm2-r279333
"ĐƯỜNG NHỰA 8M PHAN VĂN TRỊ, PHƯỜNG 11, BÌNH THẠNH, 2 TẦNG BTCT, 68M2, 6.x TỶ",68.0,3.0,2.0,30/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,6.3,https://batdongsan.vn/duong-nhua-8m-phan-van-tri-phuong-11-binh-thanh-2-tang-btct-68m2-6x-ty-r279331
"Chủ ngộp bán gấp 46m2 nhà Nguyễn Thượng Hiền, phường 5, Bình Thạnh Sổ hồng riêng",46.0,4.0,3.0,28/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà,1.74,https://batdongsan.vn/chu-ngop-ban-gap-46m2-nha-nguyen-thuong-hien-phuong-5-binh-thanh-so-hong-rieng-r279326
Bán nhà đẹp Dân xây sẵn ở ngay chỉ 3 tỷ TT Ba Đình Gần Phố,29.0,3.0,4.0,28/09/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,3.0,https://batdongsan.vn/ban-nha-dep-dan-xay-san-o-ngay-chi-3-ty-tt-ba-dinh-gan-pho-r279324
DIỆN TÍCH KHỦNG 94m2 Bình Thạnh Phan Văn Trị MT 5m NỞ HẬU chỉ nhỉnh 8T,94.0,3.0,3.0,28/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,8.35,https://batdongsan.vn/dien-tich-khung-94m2-binh-thanh-phan-van-tri-mt-5m-no-hau-chi-nhinh-8t-r279323
"Bán nhà 4 tầng 70m2 đường 31m siêu đẹp lô góc trung tâm Sở Dầu, Hồng Bàng, Hải Phòng 7,5tỷ",70.0,4.0,4.0,28/09/2023,Hải Phòng,Hồng Bàng,Hướng nhà: Đông-Nam,Hướng ban công: Đông-Nam,Bán Nhà riêng,7.5,https://batdongsan.vn/ban-nha-4-tang-70m2-duong-31m-sieu-dep-lo-goc-trung-tam-so-dau-hong-bang-hai-phong-75ty-r279321
"[View Vườn Hoa] Nhỉnh 4 tỷ bạn đã sở hữu 37,5m2 nhà 3 tầng mới tại khu TĐC Trâu Quỳ",38.0,3.0,3.0,28/09/2023,Hà Nội,Gia Lâm,Hướng nhà: Tây-Bắc,Hướng ban công: Tây-Bắc,Bán Nhà riêng,,https://batdongsan.vn/view-vuon-hoa-nhinh-4-ty-ban-da-so-huu-375m2-nha-3-tang-moi-tai-khu-tdc-trau-quy-r279318
Bán nhà đẹp sẵn ở luôn Yên Hòa Cầu Giấy . DT39m - 5T - Mt 3.5m Chỉ 5.8 tỷ Ô tô Cách 30m Gần Phố.,39.0,5.0,4.0,28/09/2023,Hà Nội,Cầu Giấy,,,Bán Nhà riêng,5.8,https://batdongsan.vn/ban-nha-dep-san-o-luon-yen-hoa-cau-giay-dt39m-5t-mt-35m-chi-58-ty-o-to-cach-30m-gan-pho-r279315
1 SẸC DƯƠNG THỊ MƯỜI - HẺM Ô TÔ – 56M2 - 4 TẦNG - CHỈ 4.7 TỶ,56.0,,2.0,28/09/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà riêng,4.75,https://batdongsan.vn/1-sec-duong-thi-muoi-hem-o-to-56m2-4-tang-chi-47-ty-r279313
"NHÀ SÁT MẶT TIỀN NGUYỄN HỮU CẢNH, PHƯỜNG 22, BÌNH THẠNH, 2 TẦNG BTCT, 57M2, 5.x TỶ",57.0,4.0,4.0,28/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,5.9,https://batdongsan.vn/nha-sat-mat-tien-nguyen-huu-canh-phuong-22-binh-thanh-2-tang-btct-57m2-5x-ty-r279310
"Gò Vấp HXH Phạm Văn Chiêu Phường 9, 72m2, 4x18, 5 tầng chỉ 10.7 tỷ",72.0,4.0,4.0,28/09/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,10.7,https://batdongsan.vn/go-vap-hxh-pham-van-chieu-phuong-9-72m2-4x18-5-tang-chi-107-ty-r279306
"Chính chủ cần bán 38,3m2 nhà 3 tầng ngõ 197 Phúc Lợi. Đường trước nhà rộng 2m",38.0,3.0,3.0,28/09/2023,Hà Nội,Long Biên,Hướng nhà: Đông-Nam,Hướng ban công: Đông-Nam,Bán Nhà riêng,2.9,https://batdongsan.vn/chinh-chu-can-ban-383m2-nha-3-tang-ngo-197-phuc-loi-duong-truoc-nha-rong-2m-r279304
"Chính chủ cần bán 38,3m2 nhà 3 tầng ngõ 197 Phúc Lợi. Đường trước nhà rộng 2m",38.0,3.0,3.0,28/09/2023,Hà Nội,Long Biên,Hướng nhà: Đông-Nam,Hướng ban công: Đông-Nam,Bán Nhà riêng,2.9,https://batdongsan.vn/chinh-chu-can-ban-383m2-nha-3-tang-ngo-197-phuc-loi-duong-truoc-nha-rong-2m-r279303
"Bán Nhà Khu Quy Hoạch Trần Anh Tông,P8.Đà Lạt",,,,28/09/2023,Lâm Đồng,Đà Lạt,,,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-khu-quy-hoach-tran-anh-tongp8da-lat-r279298
"BÁN NHÀ HXH VƯỜN LÀI, Q. TÂN PHÚ - 76M (4.2x18) A4 - 4 TẦNG BTCT - CHỈ NHỈNH 5 TỶ.",76.0,4.0,3.0,28/09/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,5.4,https://batdongsan.vn/ban-nha-hxh-vuon-lai-q-tan-phu-76m-42x18-a4-4-tang-btct-chi-nhinh-5-ty-r279291
"BÁN NHÀ HXH VƯỜN LÀI, Q. TÂN PHÚ - 76M (4.2x18) A4 - 4 TẦNG BTCT - CHỈ NHỈNH 5 TỶ.",76.0,4.0,3.0,28/09/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,5.4,https://batdongsan.vn/ban-nha-hxh-vuon-lai-q-tan-phu-76m-42x18-a4-4-tang-btct-chi-nhinh-5-ty-r279290
"BÁN NHÀ BÌNH TÂN LÊ ĐÌNH CẨN, OTO 83M2-2T 4,6 TỶ LH 0948362610",83.0,,,28/09/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,4.6,https://batdongsan.vn/ban-nha-binh-tan-le-dinh-can-oto-83m2-2t-46-ty-lh-0948362610-r279289
"Hiệp thành vip - 2 Tầng - (5,5×18,5) - 4,75 tỷ",107.0,,,28/09/2023,TP Hồ Chí Minh,Quận 12,,,Bán Nhà riêng,4.75,https://batdongsan.vn/hiep-thanh-vip-2-tang-55185-475-ty-r279282
"Nhà Văn Quán, lô góc thoáng sáng, cách 1 nhà ra phố, 45m2, 5.2 tỷ",45.0,3.0,,28/09/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,5.2,https://batdongsan.vn/nha-van-quan-lo-goc-thoang-sang-cach-1-nha-ra-pho-45m2-52-ty-r279281
"Có tin được không Liền kề Hud Sơn Tây, vị trí đẹp, tăng giá tốt, giá không tưởng !!",97.0,4.0,4.0,28/09/2023,Hà Nội,Sơn Tây,Hướng nhà: Đông-Nam,Hướng ban công: Đông-Nam,Bán Nhà mặt phố,5.0,https://batdongsan.vn/co-tin-duoc-khong-lien-ke-hud-son-tay-vi-tri-dep-tang-gia-tot-gia-khong-tuong-r279280
"Bán nhà Thành Mỹ chỉ 1.98 tỷ, hẻm xe hơi, sổ hồng riêng",19.0,1.0,1.0,28/09/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,1.98,https://batdongsan.vn/ban-nha-thanh-my-chi-198-ty-hem-xe-hoi-so-hong-rieng-r279274
Sapa City Cloud - Phiên bản giới hạn của Sapa $$$,100.0,4.0,4.0,28/09/2023,Lào Cai,Sa Pa,Hướng nhà: Đông-Nam,Hướng ban công: Đông-Nam,Bán Nhà mặt phố,5.1,https://batdongsan.vn/sapa-city-cloud-phien-ban-gioi-han-cua-sapa-r279269
Bán nhà chợ tân bình 2 mặt tiền,80.0,4.0,3.0,28/09/2023,TP Hồ Chí Minh,Tân Bình,Hướng nhà: Đông-Bắc,,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-cho-tan-binh-2-mat-tien-r279266
Bán nhà chợ tân bình 2 mặt tiền,80.0,4.0,3.0,28/09/2023,TP Hồ Chí Minh,Tân Bình,Hướng nhà: Đông-Bắc,,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-cho-tan-binh-2-mat-tien-r279265
Bán nhà Quận Gò vấp pháp lý rõ ràng hoàn công đầy đủ- nhà mới vào ở ngay.,,,,28/09/2023,TP Hồ Chí Minh,Gò Vấp,,Hướng ban công: Nam,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-quan-go-vap-phap-ly-ro-rang-hoan-cong-day-du-nha-moi-vao-o-ngay-r279264
Bán nhà Quận Gò Vấp 41m2 2p ra ngã 5 chuồng chó.,,,,28/09/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-quan-go-vap-41m2-2p-ra-nga-5-chuong-cho-r279263
Quỹ Hàng Đặc Biệt TOWNHOUSE Sun Cosmo Residence Đà Nẵng,112.0,,,28/09/2023,Đà Nẵng,Ngũ Hành Sơn,,,Bán Nhà mặt phố,,https://batdongsan.vn/quy-hang-dac-biet-townhouse-sun-cosmo-residence-da-nang-r279262
Bán nhà mới 3 lầu hẻm xe hơi đường Âu Dương Lân Phường 3 Quận 8,47.0,,,28/09/2023,TP Hồ Chí Minh,Quận 8,,,Bán Nhà riêng,9.8,https://batdongsan.vn/ban-nha-moi-3-lau-hem-xe-hoi-duong-au-duong-lan-phuong-3-quan-8-r279261
"Bán nhà Thạch Bàn, Long Biên, 38m x 5 tầng, ô tô tránh, kinh doanh, 5 tỷ",38.0,4.0,4.0,28/09/2023,Hà Nội,Long Biên,,,Bán Nhà riêng,5.0,https://batdongsan.vn/ban-nha-thach-ban-long-bien-38m-x-5-tang-o-to-tranh-kinh-doanh-5-ty-r279259
Bán nhà 2 lầu mặt tiền đường NB Cao Lỗ Phường 4 Quận 8 - LH: 0933862860 Sương,64.0,,,28/09/2023,TP Hồ Chí Minh,Quận 8,,,Bán Nhà mặt phố,11.0,https://batdongsan.vn/ban-nha-2-lau-mat-tien-duong-nb-cao-lo-phuong-4-quan-8-lh-0933862860-suong-r279258
"Chỉ Từ 5,1Tỷ - Sở Hữu Độc Bản Shophouse 4 Tầng 100m2 Khu Du Lịch Sapa - Sổ Đỏ Lâu Dài Lh 0961873689",100.0,,,28/09/2023,Lào Cai,Sa Pa,,,Bán Nhà mặt phố,5.1,https://batdongsan.vn/chi-tu-51ty-so-huu-doc-ban-shophouse-4-tang-100m2-khu-du-lich-sapa-so-do-lau-dai-lh-0961873689-r279257
"Nhà 55m2 chỉ 2.x, hẻm xe tải, Quốc Lộ 1 A, Bình Hưng Hòa B, Bình Tân",55.0,,,28/09/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà mặt phố,2.7,https://batdongsan.vn/nha-55m2-chi-2x-hem-xe-tai-quoc-lo-1-a-binh-hung-hoa-b-binh-tan-r279255
"Nhà đối diện Sacombank Lạc Long Quân, gần chợ Tân Bình, 4.5 tỷ",56.0,2.0,2.0,28/09/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,4.5,https://batdongsan.vn/nha-doi-dien-sacombank-lac-long-quan-gan-cho-tan-binh-45-ty-r279253
"Mặt Tiền Kinh Doanh Nguyễn Văn Lạc Phường 21 Bình Thạnh, 6.4 nở hậu 6.7 x 28, 8 Tầng, 65Tỷ",179.0,10.0,10.0,28/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà mặt phố,65.0,https://batdongsan.vn/mat-tien-kinh-doanh-nguyen-van-lac-phuong-21-binh-thanh-64-no-hau-67-x-28-8-tang-65ty-r279252
"Mặt Tiền Kinh Doanh Nguyễn Văn Lạc Phường 21 Bình Thạnh, 6.4 nở hậu 6.7 x 28, 8 Tầng, 65Tỷ",179.0,10.0,10.0,28/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà mặt phố,65.0,https://batdongsan.vn/mat-tien-kinh-doanh-nguyen-van-lac-phuong-21-binh-thanh-64-no-hau-67-x-28-8-tang-65ty-r279251
Bán nhà Mặt Tiền Đường Đoàn Thị Điểm. Đà Lạt,,,,28/09/2023,Lâm Đồng,Đà Lạt,,,Bán Nhà mặt phố,,https://batdongsan.vn/ban-nha-mat-tien-duong-doan-thi-diem-da-lat-r279250
Bán nhà Thạch Lam-gần chợ+trường học-nở hậu-nhà mới-3PN chỉ 3 tỷ hơn,35.0,,,28/09/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,3.2,https://batdongsan.vn/ban-nha-thach-lam-gan-chotruong-hoc-no-hau-nha-moi-3pn-chi-3-ty-hon-r279249
"Bán nhà phố Lê Trọng Tấn, Thanh Xuân Ô TÔ 7c NGÕ NÔNG 36m2 MT 4m + 3T 4,9 tỷ",36.0,,,28/09/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,4.9,https://batdongsan.vn/ban-nha-pho-le-trong-tan-thanh-xuan-o-to-7c-ngo-nong-36m2-mt-4m-3t-49-ty-r279248
BÁN NHÀ PHÂN LÔ 2 OTO TRÁNH- DOANH THU 600TR/NĂM- DÒNG TIỀN QUÁ MẠNH,,8.0,8.0,28/09/2023,Hà Nội,Bắc Từ Liêm,,,Bán Nhà riêng,9.3,https://batdongsan.vn/ban-nha-phan-lo-2-oto-tranh-doanh-thu-600trnam-dong-tien-qua-manh-r279247
"Bán nhà phố Lê Trọng Tấn Q.Thanh Xuân Ô TÔ 7c Ở kinh doanh cho thuê 4,55 tỷ",34.0,,,28/09/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,4.55,https://batdongsan.vn/ban-nha-pho-le-trong-tan-qthanh-xuan-o-to-7c-o-kinh-doanh-cho-thue-455-ty-r279246
"????Nhà hiếm, Trung Tâm Quân 10, Đường 3/2, 3 Tầng, Chỉ 3.95 Tỷ (TL).",26.0,2.0,3.0,28/09/2023,TP Hồ Chí Minh,Quận 10,,,Bán Nhà riêng,3.95,https://batdongsan.vn/nha-hiem-trung-tam-quan-10-duong-32-3-tang-chi-395-ty-tl-r279245
"Bán nhà Lê Trọng Tấn Thanh Xuân 5 phút ra Đại học Y, Thuỷ Lợi, HV Ngân Hàng, ĐH Công Đoàn 38m2 có Gara Ô TÔ 4,8 tỷ",38.0,,,28/09/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,4.8,https://batdongsan.vn/ban-nha-le-trong-tan-thanh-xuan-5-phut-ra-dai-hoc-y-thuy-loi-hv-ngan-hang-dh-cong-doan-38m2-co-gara-o-to-48-ty-r279244
"Hxh 6m 5,2 tỷ 4x13 Lê Quang Định P11 Bình Thạnh",52.0,2.0,2.0,28/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,5.2,https://batdongsan.vn/hxh-6m-52-ty-4x13-le-quang-dinh-p11-binh-thanh-r279241
"Hẻm 6m 4x18 Lê Văn Thọ 6,8 tỷ P 9 Gò Vấp",72.0,4.0,2.0,28/09/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,6.8,https://batdongsan.vn/hem-6m-4x18-le-van-tho-68-ty-p-9-go-vap-r279239
Bán Gấp Nhà Mặt Tiền Hòa Hảo Khu Víp Quận 10-5 Tầng 45M2- 5PN- Gía 14 Tỷ,45.0,6.0,5.0,27/09/2023,TP Hồ Chí Minh,Quận 10,,,Bán Nhà mặt phố,14000000000.0,https://batdongsan.vn/ban-gap-nha-mat-tien-hoa-hao-khu-vip-quan-10-5-tang-45m2-5pn-gia-14-ty-r279237
"NHÀ ĐƯỜNG LÝ THÁI TỔ, HXH, 3 TẦNG, 36M2, QUẬN 10, CHỈ 6.5TỶ",36.0,3.0,3.0,27/09/2023,TP Hồ Chí Minh,Quận 10,,,Bán Nhà riêng,6.5,https://batdongsan.vn/nha-duong-ly-thai-to-hxh-3-tang-36m2-quan-10-chi-65ty-r279236
"Bán Căn nhà 2 Tầng, sát đường Kha Vạn Cân P. Linh Chiểu, dt 201 m² ngang 14m",201.0,4.0,4.0,27/09/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà,13.0,https://batdongsan.vn/ban-can-nha-2-tang-sat-duong-kha-van-can-p-linh-chieu-dt-201-m-ngang-14m-r279232
"HXH tránh Nguyễn Văn Khối P9 Gò Vấp, 80m2, sổ vuông vức, 4 tầng, 10 tỷ",80.0,8.0,,27/09/2023,TP Hồ Chí Minh,Gò Vấp,Hướng nhà: Đông,,Bán Nhà riêng,10.0,https://batdongsan.vn/hxh-tranh-nguyen-van-khoi-p9-go-vap-80m2-so-vuong-vuc-4-tang-10-ty-r279230
"Nhà mới 5 lầu, 43m2, Hẻm xe tải, DS 21 Gò vấp, nhỉnh 5tỷ",44.0,,,27/09/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,5.9,https://batdongsan.vn/nha-moi-5-lau-43m2-hem-xe-tai-ds-21-go-vap-nhinh-5ty-r279229
"XE HƠI NGỦ TRONG NHÀ, KHÔNG QUY HOẠCH, 68M2 (4X17), LÊ ĐÌNH CẨN BÌNH TÂN, NHẸ 4 TỶ",68.0,,,27/09/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,4.5,https://batdongsan.vn/xe-hoi-ngu-trong-nha-khong-quy-hoach-68m2-4x17-le-dinh-can-binh-tan-nhe-4-ty-r279228
"NHÀ SÁT MẶT TIỀN TỈNH LỘ 10, GẦN QUẬN 6, GIÁP KHU TÊN LỬA, 5.1x6, NHỈNH 3 TỶ",30.0,,,27/09/2023,TP Hồ Chí Minh,Bình Tân,,,Bán Nhà riêng,3.35,https://batdongsan.vn/nha-sat-mat-tien-tinh-lo-10-gan-quan-6-giap-khu-ten-lua-51x6-nhinh-3-ty-r279226
SIÊU PHẨM XUẤT HIỆN.CHỈ 3ty350.HẺM 3m-42m2.ĐƯỜNG SỐ 38 - HIỆP BÌNH CHÁNH - THỦ ĐỨC,42.0,3.0,1.0,28/09/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,3.35,https://batdongsan.vn/sieu-pham-xuat-hienchi-3ty350hem-3m-42m2duong-so-38-hiep-binh-chanh-thu-duc-r279225
"Nhà bán gấp gần MT Kha Vạn Cân , 2 tầng đúc, 3PN 2WC,ban công, không lộ giới.",50.0,3.0,2.0,27/09/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,4.35,https://batdongsan.vn/nha-ban-gap-gan-mt-kha-van-can-2-tang-duc-3pn-2wcban-cong-khong-lo-gioi-r279218
"Cần tiền chính chủ bán gấp nhà trung tâm hẻm đường Hoàng Hoa Thám, P.5, Phú Nhuận",75.0,3.0,3.0,27/09/2023,TP Hồ Chí Minh,Phú Nhuận,,,Bán Nhà riêng,3.3,https://batdongsan.vn/can-tien-chinh-chu-ban-gap-nha-trung-tam-hem-duong-hoang-hoa-tham-p5-phu-nhuan-r279217
"Mặt Tiền Kinh Doanh Bùi Đình Túy Phường 24, Bình Thạnh Ngang 6.5 x 20m, 7 Tầng, Chỉ 33 Tỷ",161.0,10.0,10.0,27/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà mặt phố,33.0,https://batdongsan.vn/mat-tien-kinh-doanh-bui-dinh-tuy-phuong-24-binh-thanh-ngang-65-x-20m-7-tang-chi-33-ty-r279216
"NHÀ GẦN HẺM ÔTÔ 6M XÔ VIẾT NGHỆ TĨNH, PHƯỜNG 21, BÌNH THẠNH, 2 TẦNG BTCT, 60M2, 5.x TỶ",60.0,3.0,3.0,27/09/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,5.2,https://batdongsan.vn/nha-gan-hem-oto-6m-xo-viet-nghe-tinh-phuong-21-binh-thanh-2-tang-btct-60m2-5x-ty-r279215
"CHỐT GẤP 4,16 TỶ - NHÀ ĐẸP Ở LIỀN - TRUNG TÂM TÂN BÌNH",41.0,2.0,2.0,27/09/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,4.16,https://batdongsan.vn/chot-gap-416-ty-nha-dep-o-lien-trung-tam-tan-binh-r279214
Bán Căn Nhà Xây Mới - Nằm Ngay Hẻm Chợ Lê Văn Quới,48.0,4.0,3.0,27/09/2023,TP Hồ Chí Minh,Bình Tân,Hướng nhà: Bắc,Hướng ban công: Bắc,Bán Nhà riêng,5.3,https://batdongsan.vn/ban-can-nha-xay-moi-nam-ngay-hem-cho-le-van-quoi-r279213
Bán Căn Nhà Sổ Hồng Riêng - Đường Lê Văn Quới,44.0,4.0,3.0,27/09/2023,TP Hồ Chí Minh,Bình Tân,Hướng nhà: Bắc,Hướng ban công: Bắc,Bán Nhà riêng,4.9,https://batdongsan.vn/ban-can-nha-so-hong-rieng-duong-le-van-quoi-r279212
Bán nhà Quận Gò vấp pháp lý rõ ràng hoàn công đầy đủ- nhà mới vào ở ngay.,,2.0,3.0,27/09/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-quan-go-vap-phap-ly-ro-rang-hoan-cong-day-du-nha-moi-vao-o-ngay-r279211
Bán nhà Quận Gò Vấp đường Quang Trung 41m2 đối diện Vincom Plaza,,,,27/09/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,,https://batdongsan.vn/ban-nha-quan-go-vap-duong-quang-trung-41m2-doi-dien-vincom-plaza-r279210
NHÀ 2 TẦNG KIỆT 44 LÊ NGÔ CÁT... Ô TÔ VÀO SÂN...FULL NỘI THẤT CAO CẤP,100.0,,,27/09/2023,Thừa Thiên Huế,Huế,,,Bán Nhà riêng,,https://batdongsan.vn/nha-2-tang-kiet-44-le-ngo-cat-o-to-vao-sanfull-noi-that-cao-cap-r279207
NHÀ 2 TẦNG KIỆT 44 LÊ NGÔ CÁT... Ô TÔ VÀO SÂN...FULL NỘI THẤT CAO CẤP,100.0,,,27/09/2023,Thừa Thiên Huế,Huế,,,Bán Nhà riêng,,https://batdongsan.vn/nha-2-tang-kiet-44-le-ngo-cat-o-to-vao-sanfull-noi-that-cao-cap-r279206
"Diện tích: 80M2, 136m2, 145m2, 150m2, 160m2, 180m2, 360m2",80.0,,,27/09/2023,Thừa Thiên Huế,Hương Thủy,,,Bán Nhà riêng,3850000.0,https://batdongsan.vn/dien-tich-80m2-136m2-145m2-150m2-160m2-180m2-360m2-r279205
"Cần bán gấp nhà biệt thự Verosa Park, 6x17m 1 trệt 2 lầu 4PN, full nội thất, giá chỉ 13,5 tỷ TL",102.0,4.0,4.0,27/09/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà mặt phố,13.5,https://batdongsan.vn/can-ban-gap-nha-biet-thu-verosa-park-6x17m-1-tret-2-lau-4pn-full-noi-that-gia-chi-135-ty-tl-r279204
"Nhà đẹp gần MT Phạm Văn Đồng, 3 tầng BTCT , ban công , giếng trời,Gigamal kế bên",52.0,4.0,3.0,27/09/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,4.35,https://batdongsan.vn/nha-dep-gan-mt-pham-van-dong-3-tang-btct-ban-cong-gieng-troigigamal-ke-ben-r279201
